,date,value
0,2017-08-16,10000000.0
1,2017-08-17,9999024.659500001
2,2017-08-18,10005185.813800002
3,2017-08-21,10011740.041900001
4,2017-08-22,9993192.914800001
5,2017-08-23,9943340.538
6,2017-08-24,9943330.359100001
7,2017-08-25,9936223.549900003
8,2017-08-28,9924464.845300002
9,2017-08-29,9936591.448100002
10,2017-08-30,9912346.203000002
11,2017-08-31,9882103.669300001
12,2017-09-01,9913330.592000002
13,2017-09-04,9930934.864500001
14,2017-09-05,9930934.864500001
15,2017-09-06,9893330.149600003
16,2017-09-07,9914816.734800003
17,2017-09-08,9914771.950000003
18,2017-09-11,9944264.176100003
19,2017-09-12,9966624.229300003
20,2017-09-13,10022590.011700002
21,2017-09-14,9984128.296200003
22,2017-09-15,10008679.334700003
23,2017-09-19,10026865.085800003
24,2017-09-20,10081559.212800004
25,2017-09-21,10125332.441300003
26,2017-09-22,10117346.577300003
27,2017-09-25,10107610.887900002
28,2017-09-26,10104821.769000003
29,2017-09-27,10162479.843800005
30,2017-09-28,10188442.024600003
31,2017-09-29,10216983.891500004
32,2017-10-02,10228258.119300004
33,2017-10-03,10255342.767600004
34,2017-10-04,10267494.475800004
35,2017-10-05,10292425.494200004
36,2017-10-06,10343706.005000003
37,2017-10-10,10385879.098000003
38,2017-10-11,10418448.425200004
39,2017-10-12,10428618.050900003
40,2017-10-13,10491901.499300003
41,2017-10-16,10504513.662000004
42,2017-10-17,10514693.344400004
43,2017-10-18,10514516.112900004
44,2017-10-19,10569281.133200003
45,2017-10-20,10575652.453800004
46,2017-10-23,10615048.453800004
47,2017-10-24,10626979.557400003
48,2017-10-25,10596285.122700004
49,2017-10-26,10667796.579800004
50,2017-10-27,10708621.102600003
51,2017-10-30,10720672.642300004
52,2017-10-31,10771987.704700004
53,2017-11-01,10844521.044800004
54,2017-11-02,10863034.554600004
55,2017-11-06,10868127.155300004
56,2017-11-07,10884651.592200004
57,2017-11-08,10879931.086400006
58,2017-11-09,10936203.885500005
59,2017-11-10,10936203.885500005
60,2017-11-13,11019517.055300005
61,2017-11-14,11006246.257300004
62,2017-11-15,11007602.618600003
63,2017-11-16,10977062.256400004
64,2017-11-17,10937785.161600005
65,2017-11-20,10955370.183700005
66,2017-11-21,10963780.927500006
67,2017-11-22,10962203.325900005
68,2017-11-24,10978958.166300006
69,2017-11-27,10982108.951500006
70,2017-11-28,10981871.652400006
71,2017-11-29,11014995.275200006
72,2017-11-30,11031885.517600005
73,2017-12-01,11072817.323900005
74,2017-12-04,11102856.464300005
75,2017-12-05,11103670.134100005
76,2017-12-06,11103670.134100005
77,2017-12-07,11069290.749000005
78,2017-12-08,11105300.465600004
79,2017-12-11,11165490.276800005
80,2017-12-12,11168547.200900005
81,2017-12-13,11160625.330100004
82,2017-12-14,11166044.042100005
83,2017-12-15,11176339.228000004
84,2017-12-18,11146842.244200004
85,2017-12-19,11086980.016400006
86,2017-12-20,11119443.682600005
87,2017-12-21,11164335.798900004
88,2017-12-22,11201178.681700006
89,2017-12-25,11212491.145900005
90,2017-12-26,11212491.145900005
91,2017-12-27,11230577.446300006
92,2017-12-28,11204700.278600005
93,2017-12-29,11210858.220000006
94,2018-01-04,11294521.220000006
95,2018-01-05,11308388.220000006
96,2018-01-09,11308184.806100005
97,2018-01-10,11375983.157200005
98,2018-01-11,11375983.157200005
99,2018-01-12,11375983.157200005
100,2018-01-15,11329247.840800006
101,2018-01-16,11308033.505500006
102,2018-01-17,11311865.244100004
103,2018-01-18,11311865.244100004
104,2018-01-19,11303351.664900005
105,2018-01-22,11303351.664900005
106,2018-01-23,11342559.570100006
107,2018-01-24,11376061.936500005
108,2018-01-25,11400307.639700005
109,2018-01-26,11392242.960600005
110,2018-01-29,11382295.944400005
111,2018-01-30,11382295.944400005
112,2018-01-31,11364394.087600006
113,2018-02-01,11321765.579800006
114,2018-02-02,11332414.916300006
115,2018-02-05,11332414.916300006
116,2018-02-06,11332414.916300006
117,2018-02-07,11305707.392900007
118,2018-02-08,11030221.643900007
119,2018-02-09,11030018.338100005
120,2018-02-13,11030018.338100005
121,2018-02-14,11024891.584900007
122,2018-02-15,10978732.336100006
123,2018-02-16,10978732.336100006
124,2018-02-19,10975824.217500007
125,2018-02-20,10975781.600000007
126,2018-02-21,10977964.441400006
127,2018-02-22,10980752.073400008
128,2018-02-23,10993995.962700007
129,2018-02-26,10997623.421800006
130,2018-02-27,11055756.985900007
131,2018-02-28,11059718.122500006
132,2018-03-01,11059718.122500006
133,2018-03-02,11059718.122500006
134,2018-03-05,11059718.122500006
135,2018-03-06,10946819.122500006
136,2018-03-07,10946661.537500005
137,2018-03-08,10881379.868900007
138,2018-03-09,10897731.473800007
139,2018-03-12,10869743.061200006
140,2018-03-13,10875524.571600007
141,2018-03-14,10898572.700300006
142,2018-03-15,10886396.654400006
143,2018-03-16,10887954.982400008
144,2018-03-19,10866129.621600006
145,2018-03-20,10864291.411500007
146,2018-03-22,10855586.227000006
147,2018-03-23,10855586.227000006
148,2018-03-26,10739549.442800006
149,2018-03-27,10694744.442800006
150,2018-03-28,10687137.548100006
151,2018-03-29,10721370.414400006
152,2018-03-30,10756864.885400007
153,2018-04-02,10767509.261900006
154,2018-04-03,10803230.851300007
155,2018-04-04,10778265.044300007
156,2018-04-05,10798896.725000007
157,2018-04-06,10826073.850900006
158,2018-04-09,10823012.295400007
159,2018-04-10,10876529.575500006
160,2018-04-11,10880019.103600007
161,2018-04-12,10874699.777300008
162,2018-04-13,10927717.451000007
