,date,value
0,2017-08-16,10000000.0
1,2017-08-17,10000000.0
2,2017-08-18,10000000.0
3,2017-08-21,10000000.0
4,2017-08-22,10000000.0
5,2017-08-23,10000000.0
6,2017-08-24,10000000.0
7,2017-08-25,10000000.0
8,2017-08-28,10000000.0
9,2017-08-29,10000000.0
10,2017-08-30,10000000.0
11,2017-08-31,10000000.0
12,2017-09-01,10000000.0
13,2017-09-04,10000000.0
14,2017-09-05,10000000.0
15,2017-09-06,10000000.0
16,2017-09-07,10000000.0
17,2017-09-08,10000000.0
18,2017-09-11,10000000.0
19,2017-09-12,10000000.0
20,2017-09-13,10000000.0
21,2017-09-14,10000000.0
22,2017-09-15,10000000.0
23,2017-09-19,10000000.0
24,2017-09-20,10000000.0
25,2017-09-21,10000000.0
26,2017-09-22,10000000.0
27,2017-09-25,10000000.0
28,2017-09-26,10000000.0
29,2017-09-27,10000000.0
30,2017-09-28,10000000.0
31,2017-09-29,10000000.0
32,2017-10-02,9999205.898116002
33,2017-10-03,10027832.244508002
34,2017-10-04,10059826.291259004
35,2017-10-05,10069720.288814
36,2017-10-06,10080242.576089002
37,2017-10-10,10093607.430907005
38,2017-10-11,10100815.536802005
39,2017-10-12,10114088.523757001
40,2017-10-13,10119665.321999006
41,2017-10-16,10125238.690484008
42,2017-10-17,10155566.411662005
43,2017-10-18,10157123.22731901
44,2017-10-19,10176409.356973011
45,2017-10-20,10176708.870124009
46,2017-10-23,10184929.605544012
47,2017-10-24,10216063.719620008
48,2017-10-25,10210874.329407012
49,2017-10-26,10210056.148293007
50,2017-10-27,10257006.045838006
51,2017-10-30,10294842.412219005
52,2017-10-31,10312462.069179004
53,2017-11-01,10344595.260270007
54,2017-11-02,10387636.651303006
55,2017-11-06,10399585.990388008
56,2017-11-07,10440946.26794301
57,2017-11-08,10444537.170201004
58,2017-11-09,10476816.849357003
59,2017-11-10,10445272.987750005
60,2017-11-13,10515593.660184007
61,2017-11-14,10511771.350669008
62,2017-11-15,10562963.53946501
63,2017-11-16,10529614.691341009
64,2017-11-17,10518890.992794007
65,2017-11-20,10518816.519823005
66,2017-11-21,10545346.887215005
67,2017-11-22,10539322.759366004
68,2017-11-24,10585122.991655001
69,2017-11-27,10590699.072517008
70,2017-11-28,10579352.45201601
71,2017-11-29,10591700.780369014
72,2017-11-30,10617730.401732007
73,2017-12-01,10628280.151729003
74,2017-12-04,10602711.757103004
75,2017-12-05,10583906.080125008
76,2017-12-06,10585869.142017003
77,2017-12-07,10649674.972123
78,2017-12-08,10689857.890717
79,2017-12-11,10706420.583232002
80,2017-12-12,10708745.310493
81,2017-12-13,10700183.717341999
82,2017-12-14,10686011.192486
83,2017-12-15,10585491.304655999
84,2017-12-18,10617635.783891996
85,2017-12-19,10622150.997767996
86,2017-12-20,10639211.432744997
87,2017-12-21,10643438.952425996
88,2017-12-22,10656646.962894998
89,2017-12-25,10683437.254257997
90,2017-12-26,10717709.681075001
91,2017-12-27,10719710.182880998
92,2017-12-28,10711835.259192001
93,2017-12-29,10715355.313031
94,2018-01-04,10752429.916419
95,2018-01-05,10775694.030728
96,2018-01-09,10809964.615809005
97,2018-01-10,10828085.912084004
98,2018-01-11,10912911.844427003
99,2018-01-12,10947875.136500005
100,2018-01-15,10955633.175364003
101,2018-01-16,10941074.549399003
102,2018-01-17,10961534.479877004
103,2018-01-18,10947336.891136006
104,2018-01-19,10966445.809311008
105,2018-01-22,11005655.182820007
106,2018-01-23,11021705.390463008
107,2018-01-24,11024489.611121012
108,2018-01-25,11031542.12026401
109,2018-01-26,11033690.833910009
110,2018-01-29,11041146.47230401
111,2018-01-30,11029040.46094601
112,2018-01-31,11008432.21796901
113,2018-02-01,11014413.251358004
114,2018-02-02,11003596.591992008
115,2018-02-05,10972787.13521701
116,2018-02-06,10886732.606681006
117,2018-02-07,10860451.758468006
118,2018-02-08,10843930.452311005
119,2018-02-09,10783938.02325701
120,2018-02-13,10734559.901042007
121,2018-02-14,10701867.950094005
122,2018-02-15,10722188.524974005
123,2018-02-16,10721753.814152006
124,2018-02-19,10772680.813357003
125,2018-02-20,10737354.068105003
126,2018-02-21,10714382.138272002
